,Date,B1,Sell,B2,Adj Close
,2020/09/04,29.095,29.765,29.445,29.545
,2020/09/03,29.09,29.76,29.44,29.54
,2020/09/02,29.09,29.76,29.44,29.54
,2020/09/01,29.085,29.755,29.435,29.535
,2020/08/31,29.09,29.76,29.44,29.54
,2020/08/28,29.085,29.755,29.435,29.535
,2020/08/27,29.075,29.745,29.425,29.525
,2020/08/26,29.08,29.75,29.43,29.53
,2020/08/25,29.08,29.75,29.43,29.53
,2020/08/24,29.08,29.75,29.43,29.53
,2020/08/21,29.08,29.75,29.43,29.53
,2020/08/20,29.09,29.76,29.44,29.54
,2020/08/19,29.08,29.75,29.43,29.53
,2020/08/18,29.08,29.75,29.43,29.53
,2020/08/17,29.1,29.77,29.45,29.55
,2020/08/14,29.12,29.79,29.47,29.57
,2020/08/13,29.11,29.78,29.46,29.56
,2020/08/12,29.12,29.79,29.47,29.57
,2020/08/11,29.1,29.77,29.45,29.55
,2020/08/10,29.09,29.76,29.44,29.54
,2020/08/07,29.09,29.76,29.44,29.54
,2020/08/06,29.08,29.75,29.43,29.53
,2020/08/05,29.09,29.76,29.44,29.54
,2020/08/04,29.11,29.78,29.46,29.56
,2020/08/03,29.1,29.77,29.45,29.55
,2020/07/31,29.08,29.75,29.43,29.53
,2020/07/30,29.095,29.765,29.445,29.545
,2020/07/29,29.07,29.74,29.42,29.52
,2020/07/28,29.08,29.75,29.43,29.53
,2020/07/27,29.08,29.75,29.43,29.53
,2020/07/24,29.12,29.79,29.47,29.57
,2020/07/23,29.105,29.775,29.455,29.555
,2020/07/22,29.1,29.77,29.45,29.55
,2020/07/21,29.13,29.8,29.48,29.58
,2020/07/20,29.135,29.805,29.485,29.585
,2020/07/17,29.16,29.83,29.51,29.61
,2020/07/16,29.16,29.83,29.51,29.61
,2020/07/15,29.15,29.82,29.5,29.6
,2020/07/14,29.16,29.83,29.51,29.61
,2020/07/13,29.15,29.82,29.5,29.6
,2020/07/10,29.18,29.85,29.53,29.63
,2020/07/09,29.15,29.82,29.5,29.6
,2020/07/08,29.17,29.84,29.52,29.62
,2020/07/07,29.15,29.82,29.5,29.6
,2020/07/06,29.13,29.8,29.48,29.58
,2020/07/03,29.17,29.84,29.52,29.62
,2020/07/02,29.16,29.83,29.51,29.61
,2020/07/01,29.19,29.86,29.54,29.64
,2020/06/30,29.23,29.9,29.58,29.68
,2020/06/29,29.18,29.85,29.53,29.63
,2020/06/24,29.22,29.89,29.57,29.67
,2020/06/23,29.21,29.88,29.56,29.66
,2020/06/22,29.23,29.9,29.58,29.68
,2020/06/20,29.235,29.905,29.585,29.685
,2020/06/19,29.23,29.9,29.58,29.68
,2020/06/18,29.23,29.9,29.58,29.68
,2020/06/17,29.26,29.93,29.61,29.71
,2020/06/16,29.24,29.91,29.59,29.69
,2020/06/15,29.275,29.945,29.625,29.725
,2020/06/12,29.26,29.93,29.61,29.71
,2020/06/11,29.27,29.94,29.62,29.72
,2020/06/10,29.24,29.91,29.59,29.69
,2020/06/09,29.355,30.025,29.705,29.805
,2020/06/08,29.38,30.05,29.73,29.83
,2020/06/05,29.4,30.07,29.75,29.85
,2020/06/04,29.48,30.15,29.83,29.93
,2020/06/03,29.48,30.15,29.83,29.93
,2020/06/02,29.555,30.225,29.905,30.005
,2020/06/01,29.525,30.195,29.875,29.975
,2020/05/29,29.62,30.29,29.97,30.07
,2020/05/28,29.62,30.29,29.97,30.07
,2020/05/27,29.61,30.28,29.96,30.06
,2020/05/26,29.56,30.23,29.91,30.01
,2020/05/25,29.64,30.31,29.99,30.09
,2020/05/22,29.585,30.255,29.935,30.035
,2020/05/21,29.515,30.185,29.865,29.965
,2020/05/20,29.545,30.215,29.895,29.995
,2020/05/19,29.515,30.185,29.865,29.965
,2020/05/18,29.575,30.245,29.925,30.025
,2020/05/15,29.5,30.17,29.85,29.95
,2020/05/14,29.495,30.165,29.845,29.945
,2020/05/13,29.475,30.145,29.825,29.925
,2020/05/12,29.475,30.145,29.825,29.925
,2020/05/11,29.44,30.11,29.79,29.89
,2020/05/08,29.46,30.13,29.81,29.91
,2020/05/07,29.52,30.19,29.87,29.97
,2020/05/06,29.495,30.165,29.845,29.945
,2020/05/05,29.435,30.105,29.785,29.885
,2020/05/04,29.45,30.12,29.8,29.9
,2020/04/30,29.34,30.01,29.69,29.79
,2020/04/29,29.51,30.18,29.86,29.96
,2020/04/28,29.585,30.255,29.935,30.035
,2020/04/27,29.61,30.28,29.96,30.06
,2020/04/24,29.64,30.31,29.99,30.09
,2020/04/23,29.67,30.34,30.02,30.12
,2020/04/22,29.655,30.325,30.005,30.105
,2020/04/21,29.66,30.33,30.01,30.11
,2020/04/20,29.635,30.305,29.985,30.085
,2020/04/17,29.665,30.335,30.015,30.115
,2020/04/16,29.665,30.335,30.015,30.115
,2020/04/15,29.625,30.295,29.975,30.075
,2020/04/14,29.635,30.305,29.985,30.085
,2020/04/13,29.67,30.34,30.02,30.12
,2020/04/10,29.665,30.335,30.015,30.115
,2020/04/09,29.685,30.355,30.035,30.135
,2020/04/08,29.715,30.385,30.065,30.165
,2020/04/07,29.695,30.365,30.045,30.145
,2020/04/06,29.78,30.45,30.13,30.23
,2020/04/01,29.86,30.53,30.21,30.31
,2020/03/31,29.825,30.495,30.175,30.275
,2020/03/30,29.805,30.475,30.155,30.255
,2020/03/27,29.815,30.485,30.165,30.265
,2020/03/26,29.865,30.535,30.215,30.315
,2020/03/25,29.895,30.565,30.245,30.345
,2020/03/24,29.895,30.565,30.245,30.345
,2020/03/23,29.95,30.62,30.3,30.4
,2020/03/20,29.83,30.5,30.18,30.28
,2020/03/19,30.035,30.705,30.385,30.485
,2020/03/18,29.855,30.525,30.205,30.305
,2020/03/17,29.795,30.465,30.145,30.245
,2020/03/16,29.765,30.435,30.115,30.215
,2020/03/13,29.74,30.41,30.09,30.19
,2020/03/12,29.68,30.35,30.03,30.13
,2020/03/11,29.66,30.33,30.01,30.11
,2020/03/10,29.59,30.26,29.94,30.04
,2020/03/09,29.68,30.35,30.03,30.13
,2020/03/06,29.585,30.255,29.935,30.035
